quantity,parameter,point,point_float,year,value,value_float
mu,sigma,31/40,0.775,2023,206012/4206225,0.048977883969592684
mu,sigma,4/5,0.8,1920,11/250,0.044
mu,sigma,4/5,0.8,1988,5497/130130,0.04224237301160378
mu,sigma,4/5,0.8,1989,183319/4340910,0.04223054612972856
mu,sigma,4/5,0.8,1991,20463/484670,0.042220479914168406
mu,sigma,4/5,0.8,1993,570177/13507430,0.04221210104364783
mu,sigma,4/5,0.8,1995,359003/8645790,0.04152344667173272
mu,sigma,4/5,0.8,2017,79567/1916210,0.04152311072377245
mu,sigma,4/5,0.8,2023,349193/8412450,0.04150907286224584
mu,sigma,33/40,0.825,1920,9/250,0.036
mu,sigma,33/40,0.825,1988,2803/79880,0.035090135202804205
mu,sigma,33/40,0.825,1989,280759/8031880,0.03495557702555317
mu,sigma,33/40,0.825,1991,10457/300120,0.03484272957483673
mu,sigma,33/40,0.825,1993,145807/4195890,0.03474995769669843
mu,sigma,33/40,0.825,1995,1621563/46938560,0.03454650078741231
mu,sigma,33/40,0.825,1996,1099050441/31860600170,0.034495597544796655
mu,sigma,33/40,0.825,2017,239763/6961060,0.034443461197001604
mu,sigma,33/40,0.825,2023,441/12895,0.0341993020550601
mu,sigma,17/20,0.85,1920,19/650,0.02923076923076923
mu,sigma,17/20,0.85,1988,533/18695,0.028510296870821076
mu,sigma,17/20,0.85,1989,52312/1842545,0.028391165480354617
mu,sigma,17/20,0.85,1991,3829/135360,0.028287529550827424
mu,sigma,17/20,0.85,1993,52607/1865520,0.028199644067069773
mu,sigma,17/20,0.85,1995,330371/11745520,0.028127405172355076
mu,sigma,17/20,0.85,1996,893191343/31812148810,0.028077051579716912
mu,sigma,17/20,0.85,2017,345/12412,0.02779568159845311
mu,sigma,17/20,0.85,2023,20001/721108,0.027736483300698368
mu,sigma,7/8,0.875,1920,3/130,0.023076923076923078
mu,sigma,7/8,0.875,1988,518/23181,0.022345886717570426
mu,sigma,7/8,0.875,1989,51660/2313161,0.022333075821354416
mu,sigma,7/8,0.875,1991,1917/85879,0.022322104356128972
mu,sigma,7/8,0.875,1993,53295/2388526,0.022312924372604695
mu,sigma,7/8,0.875,1995,103863/4698208,0.022106939496931596
mu,sigma,7/8,0.875,1996,140596251/6362429762,0.022097886540095056
mu,sigma,7/8,0.875,2017,533/24824,0.02147115694489204
mu,sigma,7/8,0.875,2023,30935/1442216,0.021449630291163042
mu,sigma,9/10,0.9,1920,11/650,0.016923076923076923
mu,sigma,9/10,0.9,1988,281/16910,0.0166173861620343
mu,sigma,9/10,0.9,1989,84759/5117890,0.016561317261605858
mu,sigma,9/10,0.9,1991,3167/191770,0.01651457475100381
mu,sigma,9/10,0.9,1993,177103/10748930,0.016476337644770224
mu,sigma,9/10,0.9,1995,487213/29680330,0.016415349829331412
mu,sigma,9/10,0.9,1996,1322836669/80689192270,0.016394223709335937
mu,sigma,9/10,0.9,2017,1/65,0.015384615384615385
mu,sigma,37/40,0.925,1920,19/1610,0.011801242236024845
mu,sigma,37/40,0.925,1988,631/54890,0.011495718710147568
mu,sigma,37/40,0.925,1989,63359/5515130,0.011488215146333813
mu,sigma,37/40,0.925,1991,16553/1441670,0.01148182316341465
mu,sigma,37/40,0.925,1993,231199/20145430,0.011476498640138234
mu,sigma,37/40,0.925,1995,330371/28960300,0.011407720223892708
mu,sigma,37/40,0.925,1996,893191343/78344966290,0.011400749598816377
mu,sigma,37/40,0.925,2003,185861459/16324371160,0.011385520286099645
mu,sigma,37/40,0.925,2005,16710028/1467713045,0.011385078341386547
mu,sigma,37/40,0.925,2017,43/4440,0.009684684684684685
mu,sigma,19/20,0.95,1920,27/3850,0.007012987012987013
mu,sigma,19/20,0.95,1988,2259/326410,0.006920743849759505
mu,sigma,19/20,0.95,1989,2047/297010,0.006892023837581226
mu,sigma,19/20,0.95,1991,8211/1195690,0.006867164566066455
mu,sigma,19/20,0.95,1993,226683/33110890,0.006846176590239646
mu,sigma,19/20,0.95,1995,235899/34523470,0.006833003750781714
mu,sigma,19/20,0.95,1996,1273611519/186627408290,0.006824354100341668
mu,sigma,19/20,0.95,2003,40481287/6053280000,0.006687496200407052
mu,sigma,19/20,0.95,2017,9/1750,0.005142857142857143
mu,sigma,39/40,0.975,1920,9/2990,0.0030100334448160534
mu,sigma,39/40,0.975,1988,1/335,0.0029850746268656717
mu,sigma,39/40,0.975,1989,197/66170,0.0029771799909324467
mu,sigma,39/40,0.975,1991,3/1010,0.0029702970297029703
mu,sigma,39/40,0.975,1993,783/264130,0.0029644493241964185
mu,sigma,39/40,0.975,1995,78633/26755730,0.002938921868325028
mu,sigma,39/40,0.975,1996,424537173/144541968790,0.002937120454037784
mu,sigma,39/40,0.975,2001,1554048/532477615,0.0029185226875687535
mu,sigma,39/40,0.975,2002,1/360,0.002777777777777778
mu,sigma,39/40,0.975,2017,7/4040,0.0017326732673267327
beta,alpha,1/40,0.025,1993,307/2920,0.10513698630136986
beta,alpha,1/40,0.025,1995,5/56,0.08928571428571429
beta,alpha,1/40,0.025,2003,2857/105600,0.02705492424242424
beta,alpha,1/40,0.025,2016,211/8160,0.0258578431372549
beta,alpha,1/20,0.05,1993,177/1460,0.12123287671232877
beta,alpha,1/20,0.05,1995,3/28,0.10714285714285714
beta,alpha,1/20,0.05,2003,247/4800,0.051458333333333335
beta,alpha,1/20,0.05,2016,613/12240,0.05008169934640523
beta,alpha,3/40,0.075,1993,401/2920,0.13732876712328768
beta,alpha,3/40,0.075,1995,1/8,0.125
beta,alpha,3/40,0.075,2003,8011/105600,0.07586174242424243
beta,alpha,3/40,0.075,2016,1089/14560,0.07479395604395604
beta,alpha,3/40,0.075,2017,209/2800,0.07464285714285715
beta,alpha,1/10,0.1,1993,56/365,0.15342465753424658
beta,alpha,1/10,0.1,1995,1/7,0.14285714285714285
beta,alpha,1/10,0.1,2003,2647/26400,0.10026515151515152
beta,alpha,1/10,0.1,2016,179/1800,0.09944444444444445
beta,alpha,1/10,0.1,2017,109/1100,0.09909090909090909
beta,alpha,1/8,0.125,1993,99/584,0.1695205479452055
beta,alpha,1/8,0.125,1995,9/56,0.16071428571428573
beta,alpha,1/8,0.125,2003,2633/21120,0.1246685606060606
beta,alpha,1/8,0.125,2016,111/896,0.12388392857142858
beta,alpha,1/8,0.125,2017,71/576,0.1232638888888889
beta,alpha,3/20,0.15,1993,271/1460,0.18561643835616437
beta,alpha,3/20,0.15,1995,5/28,0.17857142857142858
beta,alpha,3/20,0.15,2003,38/255,0.14901960784313725
beta,alpha,3/20,0.15,2016,83/560,0.14821428571428572
beta,alpha,3/20,0.15,2017,33/224,0.14732142857142858
beta,alpha,7/40,0.175,1993,589/2920,0.20171232876712328
beta,alpha,7/40,0.175,1995,11/56,0.19642857142857142
beta,alpha,7/40,0.175,2003,19/102,0.18627450980392157
beta,alpha,7/40,0.175,2016,413/2400,0.17208333333333334
beta,alpha,7/40,0.175,2017,41/240,0.17083333333333334
beta,alpha,1/5,0.2,1993,159/730,0.21780821917808219
beta,alpha,1/5,0.2,1995,3/14,0.21428571428571427
beta,alpha,1/5,0.2,2016,39/200,0.195
beta,alpha,1/5,0.2,2017,29/150,0.19333333333333333
beta,alpha,9/40,0.225,1993,683/2920,0.2339041095890411
beta,alpha,9/40,0.225,1995,13/56,0.23214285714285715
beta,alpha,9/40,0.225,2016,351/1600,0.219375
beta,alpha,9/40,0.225,2017,87/400,0.2175
beta,alpha,1/4,0.25,1993,1/4,0.25
beta,alpha,1/4,0.25,1996,59/246,0.23983739837398374
beta,alpha,1/4,0.25,2016,23/96,0.23958333333333334
beta,alpha,1/4,0.25,2017,19/80,0.2375
beta,alpha,11/40,0.275,1993,777/2920,0.2660958904109589
beta,alpha,11/40,0.275,1996,9411/36080,0.2608370288248337
beta,alpha,3/10,0.3,1993,103/365,0.2821917808219178
