cve,published,severity,reporter,explicit_ai,ai_affiliated,ai_evidence_url,fuzz,affected_versions,source_discovery,source_url,source_sha256,metadata_commit
CVE-2012-2333,2012-05-10,Unknown,Codenomicon,no,no,,no,1.0.1 to <1.0.1c; 1.0.0 to <1.0.0j; 0.9.8 to <0.9.8x,,https://raw.githubusercontent.com/openssl/release-metadata/597a9a75044fb94b2823d111fd96ad9607a38189/secjson/CVE-2012-2333.json,1fd50bc3f5b9fe3b759e33524f8ce4be483511e2e53e5f1444f4c06bcad3fb70,597a9a75044fb94b2823d111fd96ad9607a38189
CVE-2013-0169,2013-02-04,Unknown,"Nadhem J. AlFardan and Kenneth G. Paterson of the Information Security Group Royal Holloway, University of London",no,no,,no,1.0.1 to <1.0.1d; 1.0.0 to <1.0.0k; 0.9.8 to <0.9.8y,,https://raw.githubusercontent.com/openssl/release-metadata/597a9a75044fb94b2823d111fd96ad9607a38189/secjson/CVE-2013-0169.json,3ec787181c59e0035ba39bfae4176722c7a56f5fd18a57cf3bfbd3f4c91623ef,597a9a75044fb94b2823d111fd96ad9607a38189
CVE-2012-2686,2013-02-05,Unknown,Adam Langley and Wolfgang Ettlinger,no,no,,no,1.0.1 to <1.0.1d,,https://raw.githubusercontent.com/openssl/release-metadata/597a9a75044fb94b2823d111fd96ad9607a38189/secjson/CVE-2012-2686.json,a98f9273fc9e4394cad4760124b525d8416f4f4432f7477a249c3d8d311a7143,597a9a75044fb94b2823d111fd96ad9607a38189
CVE-2013-0166,2013-02-05,Unknown,Stephen Henson,no,no,,no,1.0.1 to <1.0.1d; 1.0.0 to <1.0.0k; 0.9.8 to <0.9.8y,,https://raw.githubusercontent.com/openssl/release-metadata/597a9a75044fb94b2823d111fd96ad9607a38189/secjson/CVE-2013-0166.json,e60b0d92c2538bae7f31be71e59daf5a7a366a45c917b9d8d32438e71a630d07,597a9a75044fb94b2823d111fd96ad9607a38189
CVE-2013-6450,2013-12-13,Unknown,Dmitry Sobinov,no,no,,no,1.0.1 to <1.0.1f; 1.0.0 to <1.0.0l,,https://raw.githubusercontent.com/openssl/release-metadata/597a9a75044fb94b2823d111fd96ad9607a38189/secjson/CVE-2013-6450.json,577b067431d39dfa95e042fb2e80eb939c76d64a145da00587eea496aba8b7bf,597a9a75044fb94b2823d111fd96ad9607a38189
CVE-2013-6449,2013-12-14,Unknown,Ron Barber,no,no,,no,1.0.1 to <1.0.1f,,https://raw.githubusercontent.com/openssl/release-metadata/597a9a75044fb94b2823d111fd96ad9607a38189/secjson/CVE-2013-6449.json,c229c37cf16999971ba8d457192842341d6b51b09bd5fbe0aeb2724112ac4a21,597a9a75044fb94b2823d111fd96ad9607a38189
CVE-2013-4353,2014-01-06,Unknown,Anton Johansson,no,no,,no,1.0.1 to <1.0.1f,,https://raw.githubusercontent.com/openssl/release-metadata/597a9a75044fb94b2823d111fd96ad9607a38189/secjson/CVE-2013-4353.json,4ad56181447a4c79d0ae10dcb0671d63f2021d6b7b1bba81ba65c078cb91d136,597a9a75044fb94b2823d111fd96ad9607a38189
CVE-2014-0076,2014-02-14,Unknown,Yuval Yarom and Naomi Benger,no,no,,no,1.0.1 to <1.0.1g; 1.0.0 to <1.0.0m; 0.9.8 to <0.9.8za,,https://raw.githubusercontent.com/openssl/release-metadata/597a9a75044fb94b2823d111fd96ad9607a38189/secjson/CVE-2014-0076.json,cad216d699341f1457e054c858f90946dc2c0316ee311f312c9b660312ab6937,597a9a75044fb94b2823d111fd96ad9607a38189
CVE-2014-0160,2014-04-07,Unknown,Neel Mehta,no,no,,no,1.0.1 to <1.0.1g,,https://raw.githubusercontent.com/openssl/release-metadata/597a9a75044fb94b2823d111fd96ad9607a38189/secjson/CVE-2014-0160.json,6ce85a5dbbe40f75270a65e9e9883f4625a3def66d51df55e299142079f37cb3,597a9a75044fb94b2823d111fd96ad9607a38189
CVE-2010-5298,2014-04-08,Unknown,,no,no,,no,1.0.1 to <1.0.1h; 1.0.0 to <1.0.0m,,https://raw.githubusercontent.com/openssl/release-metadata/597a9a75044fb94b2823d111fd96ad9607a38189/secjson/CVE-2010-5298.json,5262b92227664445516013a210a5c33a6f7805cf0da708c2b843230bb5f4b327,597a9a75044fb94b2823d111fd96ad9607a38189
